shoulder_angle_cal shoulder.angle.cal
isaft_raw isaft.raw
accel_channel accel.channel
accel_raw accel.raw
accel_curr accel.curr
accel_bias accel.bias
accel_xform accel.xform
accelx accel.filt
accely accel.filt
accelz accel.filt
have_csen csen.have
csen_channela csen.channela[0]
csen_channelc csen.channelc[0]
csen_rawa csen.rawa[0]
csen_rawc csen.rawc[0]
csen_xforma csen.xforma[0]
csen_xformc csen.xformc[0]
csen_kt csen.kt[0]
csen_kt_biasa csen.kt_biasa[0]
csen_kt_biasc csen.kt_biasc[0]
csen_alpha csen.alpha[0]
csen_curr csen.curr[0]
csen_torque csen.torque[0]
grasp_channel grasp.channel
grasp_raw grasp.raw
grasp_bias grasp.bias
grasp_cal grasp.cal
grasp_gain grasp.gain
grasp_force grasp.force
grasp_press grasp.press
grasp_release grasp.release
isaenc pc7266.enc
isaenc_raw pc7266.raw
isaenc_max pc7266.max
isaenc_scale pc7266.scale
isaenc_zero pc7266.zero
isaenc_docal pc7266.docal
have_pc7266 pc7266.have
have_pci4e pci4e.have
pci4e_bar pci4e.bar
pci4e_remap pci4e.remap
pci4e_len pci4e.len
pci4e_dev pci4e.dev
pcienc pci4e.enc
pcienc_lin pci4e.lenc
pcienc_raw pci4e.raw
pcienc_limit pci4e.limit
pcienc_scale pci4e.scale
pcienc_zero pci4e.zero
stiff stiff
side_stiff side_stiff
tag tag
ticks30Hz ticks30Hz
time_after_last_sample times.time_after_last_sample
time_after_sample times.time_after_sample
time_at_start times.time_at_start
time_before_last_sample times.time_before_last_sample
time_before_sample times.time_before_sample
time_delta_call times.time_delta_call
time_delta_sample times.time_delta_sample
time_delta_tick times.time_delta_tick
time_since_start times.time_since_start
time_ns_delta_call times.ns_delta_call
time_ns_delta_sample times.ns_delta_sample
time_ns_delta_tick times.ns_delta_tick
time_ms_since_start times.ms_since_start
sec times.sec
time_ns_delta_sample_thresh times.ns_delta_sample_thresh
time_ns_delta_tick_thresh times.ns_delta_tick_thresh
time_ns_max_delta_sample times.ns_max_delta_sample
time_ns_max_delta_tick times.ns_max_delta_tick
total_samples total_samples
x pos.x
y pos.y
x_force motor_force.x
y_force motor_force.y
soft_xvel soft_vel.x
soft_yvel soft_vel.y
fsoft_xvel fsoft_vel.x
fsoft_yvel fsoft_vel.y
tach_xvel tach_vel.x
tach_yvel tach_vel.y
xvel vel.x
yvel vel.y
velmag velmag
soft_accelx soft_accel.x
soft_accely soft_accel.y
soft_accelmag soft_accelmag
stheta theta.s
etheta theta.e
sthetadot thetadot.s
ethetadot thetadot.e
pl_back_x back.x
pl_back_y back.y
pl_norm_x norm.x
pl_norm_y norm.y
errnum errnum
nerrors nerrors
errori errori[0]
errorcode errorcode[0]
errorindex errorindex
g_go go
g_planet_color_red planet_color_red[0]
g_planet_color_green planet_color_green[0]
g_planet_color_blue planet_color_blue[0]
g_planet_color_go planet_color_go[0]
g_planet_default_red planet_default_red
g_planet_default_green planet_default_green
g_planet_default_blue planet_default_blue
g_planet_rotation_aa planet_rotation_aa[0]
g_planet_rotation_ps planet_rotation_ps[0]
g_planet_rotation_fe planet_rotation_fe[0]
g_planet_rotation_go planet_rotation_go[0]
g_target target
g_target_go target_go
g_target_hit target_hit
g_repetition repetition
g_total_repetitions total_repetitions
g_repetition_go repetition_go
g_key_spacebar key_spacebar
g_key_quit key_quit
g_key_b key_b
g_feSlack feSlack
g_psSlack psSlack
g_aaSlack aaSlack
g_planarSlack planarSlack
g_slack_go slack_go
g_active_target active_target
g_active_target_go active_target_go
g_quit_server quit_server
scorriolis Corriolis.s
ecorriolis Corriolis.e
mass11 Mofq.e00
mass12 Mofq.e01
mass21 Mofq.e10
mass22 Mofq.e11
pixelx pixelx
pixely pixely
realx realx
realy realy
xcenter xcenter
ycenter ycenter
ffs ffs
hand_place hand_place
stiffness stiffness
move_flag move_flag
servo_flag servo_flag
current_dir current_dir
last_pointX last_pointX
last_pointY last_pointY
plg_debug plg_debug
plg_ftzero plg_ftzero
plg_ftzerocount plg_ftzerocount
plg_curlmat plg_curlmat
plg_stiffness plg_stiffness
plg_damping plg_damping
plg_p1x plg_p1x
plg_p1y plg_p1y
plg_p2x plg_p2x
plg_p2y plg_p2y
plg_movetime plg_movetime
plg_counterstart plg_counterstart
plg_moveto_done plg_moveto_done
plg_last_fX plg_last_fX
plg_last_fY plg_last_fY
plg_channel_width plg_channel_width
ba_accumforce ba_accumforce
mkt_mvtangle mkt_mvtangle
mkt_finline mkt_finline
mkt_fortho mkt_fortho
ba_fx ba_fx
ba_fy ba_fy
ba_position ba_position
mkt_isMcGill mkt_isMcGill
fvv_trial_phase fvv_trial_phase
fvv_trial_no fvv_trial_no
last_shm_val last_shm_val
